ms_id,pass_id,labez,clique,sys_period,user_id_start,user_id_stop
212,1,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,2,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,3,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,4,b,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,5,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,6,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,7,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,8,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,9,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,10,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,11,b,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,12,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,13,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,14,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,15,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,16,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,17,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,18,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,19,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,20,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,21,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,22,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,23,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,24,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,25,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,26,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,27,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,28,e,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,29,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,30,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,31,c,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,32,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,33,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,34,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,35,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,36,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,37,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,38,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,39,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,40,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,41,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,42,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,43,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,44,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,45,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,46,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
212,47,a,1,"[""2020-07-08 08:53:19.459696+00"",)",1,
