pass_id,labez,lesart
217,b,αυτη
218,a,ευθυς πανταχου
476,a,""
218,b,ευθυς πανταχη (cf. 29/2-14j)
218,c,ευθυς
218,d,πανταχου
218,e,""
219,a,ολην
219,b,""
220,a,την
220,b,την γην
220,c,""
221,a,της γαλιλαιας
221,b,της ιουδαιας
221,c,του ιορδανου
221,d,εκεινην της γαλιλαιας
221,e,εκεινην
221,f,γαλιλαιας
221,g,""
222,a,και ευθυς εκ της συναγωγης εξελθοντες ηλθον
222,b,και ευθεως εξελθοντες εκ της συναγωγης ηλθον
222,c,και ευθεως εκ της συναγωγης συνελθοντες ηλθον
222,d,και ευθυς εκ της συναγωγης εξελθοντες εισηλθον
222,e,και ευθυς εκ της συναγωγης εξελθων ηλθεν
222,f,και ευθεως εξελθων εκ της συναγωγης ηλθεν
222,g,και εξελθων ευθυς εκ της συναγωγης ηλθεν
222,h,και ευθεως εκ της συναγωγης εξελθων εισηλθεν
222,i,και ευθεως εξελθων εκ της συναγωγης ανηλθεν
222,k,ευθεως εκ της συναγωγης εξελθοντες ηλθον
222,l,και ευθεως εκ της συναγωγης εξελθοντες
222,m,εξελθων δε εκ της συναγωγης ηλθεν
222,n,τω καιρω εκεινω ηλθεν ο ιησους
222,o,ελθων ο κυριος ημων ιησους ο χριστος
222,p,ηλθεν
223,a,την
223,b,""
224,a,και ανδρεου
224,b,μετα και ανδρεου
224,c,μετα ανδρεου
224,d,""
225,a,μετα ιακωβου και ιωαννου
225,b,μετα ιωαννου και ιακωβου
225,c,και ιακωβου μετα ιωαννου
225,d,και ιακωβου και ιωαννου
225,e,και ιακωβου μετα του ιωαννου
225,f,μετα ιακωβου
225,g,""
226,a,η δε πενθερα σιμωνος κατεκειτο
226,b,κατεκειτο δε η πενθερα σιμωνος
227,a,σιμωνος
227,b,του σιμωνος
227,c,πετρου
227,d,του πετρου
228,a,και
228,b,""
229,a,ευθυς
229,b,""
230,a,λεγουσιν αυτω περι αυτης
230,b,λεγει αυτω περι αυτης ο πετρος
231,a,αυτω
231,b,""
232,a,περι αυτης
232,b,""
233,a,ηγειρεν αυτην κρατησας της χειρος
233,b,εκτεινας την χειρα και επιλαβομενος ηγειρεν αυτην
233,c,εκτεινας την χειρα κρατησας ηγειρεν αυτην
234,a,""
234,b,και
234,zu,""
235,a,της χειρος
235,b,της χειρος αυτης
235,c,την χειρα αυτης
235,d,της χειρος αυτου
235,e,αυτην της χειρος
235,zu,""
236,a,και αφηκεν αυτην ο πυρετος και διηκονει αυτοις
236,b,""
237,a,αφηκεν αυτην ο πυρετος και
237,b,αφηκεν αυτην ο πυρετος ευθεως και ηγερθη και
237,c,αφηκεν αυτην ο πυρετος και ηγερθη ευθεως και
237,d,αφηκεν αυτην ευθεως ο πυρετος ευθεως και
237,e,ευθεως αφηκεν αυτην ο πυρετος ευθεως και
237,f,αφηκεν αυτην ο πυρετος και ευθεως και
237,g,αφηκεν αυτην ο πυρετος ευθεως και
237,h,αφηκεν ο πυρετος αυτην ευθεως και
237,i,αφηκεν αυτην ο πυρετος και ευθεως
237,j,αφηκεν αυτην ο πυρετος ευθεως
237,zu,""
238,a,διηκονει αυτοις
238,b,""
238,zu,""
239,a,αυτοις
239,b,αυτω
239,zu,""
240,a,οψιας δε γενομενης
240,b,οψιας	
241,a,εφερον
241,b,προσεφερον
242,a,προς αυτον παντας
242,b,αυτω παντας
242,c,προς τον ιησουν παντας
242,d,προς αυτους παντας
242,e,παντες προς αυτον παντας
242,f,παντες προς αυτον
242,g,προς αυτον
242,h,παντας
243,a,""
243,b,ποικιλαις νοσοις
243,c,νοσοις ποικιλαις
244,a,και τους δαιμονιζομενους
244,b,και δαιμονιζομενους
244,c,""
245,a,ην ολη η πολις επισυνηγμενη
245,b,ην η πολις ολη επισυνηγμενη
245,c,η πολις ολη επισυνηγμενη ην
245,d,ην πασα η πολις επισυνηγμενη
627,b,""
245,e,η πολις ολη ην συνηγμενη
245,f,η πολις ολη συνηγμενη ην
245,g,ην η πολις επισυνηγμενη
245,h,η πολις ολη επισυνηγμενη
246,a,την θυραν
246,b,τη θυρα
246,c,τας θυρας
246,d,την θαλασσαν
247,a,""
247,b,αυτου
248,a,και εθεραπευσεν πολλους κακως εχοντας ποικιλαις νοσοις και δαιμονια πολλα εξεβαλεν και ουκ ηφιεν λαλειν τα δαιμονια οτι ηδεισαν αυτον
248,b,και εθεραπευσεν αυτους και τους δαιμονια εχοντας εξεβαλεν αυτα απ αυτων και ουκ ηφιεν αυτα λαλειν οτι ηδεισαν αυτον και εθεραπευσεν πολλους κακως εχοντας ποικιλαις νοσοις και δαιμονια πολλα εξεβαλεν
249,a,πολλους
249,b,πολλους και παντας τους
249,c,πολλους τους
249,d,παντας τους
249,e,αυτους
250,a,κακως εχοντας ποικιλαις νοσοις
250,b,ποικιλαις νοσοις κακως εχοντας
250,c,κακως εχοντας και ποικιλαις νοσοις
250,d,κακως εχοντας
251,a,δαιμονια πολλα εξεβαλεν
251,b,δαιμονια πολλα εξεβαλλεν
251,c,δαιμονας πολλα εξεβαλεν
251,d,δαιμονας πολλους εξεβαλεν
251,e,δαιμονια πολλα εξεβαλεν απ αυτων
251,f,δαιμονια εξεβαλεν
252,a,και ουκ ηφιεν
252,b,και ουκ ηφηκεν
252,c,ουκ αφιων
253,a,λαλειν τα δαιμονια
253,b,τα δαιμονια λαλειν
253,c,λαλειν αυτα
253,d,αυτα λαλειν
253,e,τ̣α̣ δ̣[
254,a,αυτον
254,b,αυτον τον χριστον ειναι
254,c,τον χριστον αυτον ειναι
254,e,αυτον ειναι τον χριστον
254,f,αυτον τον ιησουν ειναι
254,g,αυτον χριστον ειναι
254,h,χριστον ειναι αυτον
254,i,αυτον χριστον
254,j,τον χριστον ειναι
255,a,και πρωι εννυχα λιαν αναστας
255,b,τω καιρω εκεινω
256,a,πρωι εννυχα λιαν
256,b,πρωι εννυχα
256,d,εννυχα
256,zu,""
257,a,""
257,b,και
257,zu,""
258,a,αναστας
258,b,διαναστας
258,c,""
258,zu,""
259,a,εξηλθεν και απηλθεν
259,b,εξελθων απηλθεν
259,c,εξηλθεν
259,d,απηλθεν
259,e,εισηλθεν
260,a,""
260,b,ιησους
260,c,ο ιησους
261,a,""
261,b,τον
262,a,κακει προσηυχετο
262,b,και προσηυχετο
262,c,""
263,a,κατεδιωξεν
263,b,κατεδιωκεν
263,c,κατεδιωξαν
264,a,αυτον
264,b,οπισω αυτου
265,a,""
265,b,ο
265,c,ο τε
266,a,σιμων
266,b,πετρος
267,a,μετ
267,b,μαθηται
268,a,""
268,b,ησαν
269,a,και ευρον αυτον και λεγουσιν
269,b,λεγοντες
270,a,ευρον αυτον και
270,b,ευροντες αυτον
270,c,ευροντες αυτον και
270,d,οτε ευρον αυτον
270,e,ευροντες
270,zu,""
271,a,λεγουσιν
271,b,ειπον
271,zu,""
272,a,οτι
272,b,""
273,a,παντες ζητουσιν σε
273,b,παντες σε ζητουσιν
273,c,ζητουσιν σε παντες
273,d,παντες ζητουσιν
274,a,και λεγει αυτοις
274,b,και ειπεν αυτοις
274,c,και λεγει αυτω
274,d,λεγει αυτοις
275,a,""
275,b,ο ιησους
276,a,αγωμεν
276,b,αγομεν
277,a,αλλαχου
277,b,και
277,c,""
278,a,εχομενας κωμοπολεις
278,b,εχομενας πολεις
278,c,εγγυς κωμας και εις τας πολεις
279,a,ινα και εκει κηρυξω
279,b,κηρυσσειν
280,a,και εκει
280,c,εκει
280,zu,""
281,a,κηρυξω
281,b,κηρυξωμεν
281,zu,""
282,a,""
282,b,και
282,c,εγω
628,a,""
283,a,εξηλθον
283,b,εξεληλυθα
283,c,εληλυθα
283,d,απεσταλην
284,a,ηλθεν κηρυσσων
284,b,ηλθεν κηρυσσειν
284,c,ην κηρυσσων
284,d,ην διδασκων
285,a,εις τας συναγωγας
285,b,εν ταις συναγωγαις
285,c,εις την συναγωγην
285,d,εν συναγωγαις
286,a,""
286,b,και
287,a,εις ολην την γαλιλαιαν
287,b,""
288,a,εις
288,b,""
288,zu,""
289,a,γαλιλαιαν
289,b,ιουδαιαν
289,c,οικουμενην
289,d,γην εκεινην
289,zu,""
290,a,και τα δαιμονια εκβαλλων
290,b,""
291,a,και
291,b,""
291,zu,""
292,a,τα δαιμονια
292,b,δαιμονια πολλα
292,c,δαιμονια
292,zu,""
293,a,και ερχεται προς αυτον λεπρος
294,a,""
294,b,ο
294,zu,""
295,a,παρακαλων αυτον και γονυπετων
295,b,παρακαλων και γονυπετων αυτον
295,c,παρακαλων αυτον και γονυπετων αυτον
295,d,παρακαλων αυτον γονυπετων
295,e,παρακαλων αυτον
295,f,και γονυπετων
295,g,ερωτων αυτον
296,a,και
296,b,""
297,a,λεγων
297,b,λεγει
298,a,αυτω οτι εαν θελης
298,b,αυτω οτι εαν θελεις
298,c,αυτο οτι εαν θελης
298,d,αυτω οτι εαν θελης κυριε
298,e,αυτω οτι εαν θελεις κυριε
298,g,αυτω κυριε εαν θελης
298,h,αυτω κυριε εαν θελεις
298,i,οτι εαν θελης κυριε
298,j,αυτω εαν θελης
298,k,οτι εαν θελης
298,l,οτι εαν θελεις
298,m,κυριε εαν θελης
298,n,εαν θελης
298,o,εαν θελεις
